"pan_number","status"
"TLWNQ8662M","Invalid PAN"
"KICB51036B","Invalid PAN"
"FWVQ69037J","Invalid PAN"
"EWLPX6592A","Valid PAN"
"PHPIF198!L","Invalid PAN"
"AXTFT946!E","Invalid PAN"
"CUFRH0311B","Invalid PAN"
"LQRFE50594O","Invalid PAN"
"ZJDU20094N","Invalid PAN"
"YQYMK1997Z","Invalid PAN"
"CLRFR2306F","Valid PAN"
"FPORG5371S","Valid PAN"
"IQLNM64147Z","Invalid PAN"
"SDCQJ6436Z","Valid PAN"
"GRZXC4711W","Invalid PAN"
"SARB23055X","Invalid PAN"
"LEGHH1586A","Invalid PAN"
"QXGHP7508U","Valid PAN"
"PFKJ98757H","Invalid PAN"
"GHYH33227H","Invalid PAN"
"LGVEA08090T","Invalid PAN"
"MTDZO7465T","Valid PAN"
"VETT38742G","Invalid PAN"
"DIDC29407P","Invalid PAN"
"OXMXI6356G","Valid PAN"
"BEM0132","Invalid PAN"
"BFBBP1888Y","Invalid PAN"
"LXZJW8398V","Valid PAN"
"XCKM19253T","Invalid PAN"
"KOKFO4241K","Valid PAN"
"FURZQ6295L","Valid PAN"
"FGDVQ10219W","Invalid PAN"
"UTZUO9269S","Valid PAN"
"SIHOP1780J","Valid PAN"
"IRVOW9036X","Valid PAN"
"FVOXS44511Y","Invalid PAN"
"FQOMP0729P","Valid PAN"
"TQGTD1947X","Valid PAN"
"EGLNW8162I","Valid PAN"
"GHGJ13805M","Invalid PAN"
"BZVAR9056M","Valid PAN"
"WXECV5906A","Valid PAN"
"GFQFU3362J","Invalid PAN"
"LXZUE650!T","Invalid PAN"
"DWPLG7924N","Valid PAN"
"GBYTZ5725T","Valid PAN"
"JNKFZ01953P","Invalid PAN"
"QUQWD306!Q","Invalid PAN"
"VSIUR037!L","Invalid PAN"
"SGM4203","Invalid PAN"
"DML4722","Invalid PAN"
"ECDWL1530H","Valid PAN"
"MPU1211","Invalid PAN"
"SFQBY2044M","Invalid PAN"
"DIOWP9261Y","Valid PAN"
"YYOSM467!J","Invalid PAN"
"FEO0896","Invalid PAN"
"AMHIT7249J","Valid PAN"
"UWNU72497U","Invalid PAN"
"MYSJJ6409E","Invalid PAN"
"XFSDS3329G","Invalid PAN"
"ELBKE3748T","Valid PAN"
"PBCTX5187Y","Valid PAN"
"DIQ3421","Invalid PAN"
"HEBKG6113Y","Invalid PAN"
"SOFKS8565J","Valid PAN"
"RFIH57549E","Invalid PAN"
"ZLTDM6023M","Valid PAN"
"UGRWD5798X","Valid PAN"
"YUSAM1066F","Invalid PAN"
"YXRND7824I","Valid PAN"
"DAGFP7439U","Valid PAN"
"PMDFP7004D","Invalid PAN"
"EHNYH6951A","Valid PAN"
"SLAAY08584Y","Invalid PAN"
"AZAJG9986K","Invalid PAN"
"KARAH6789W","Invalid PAN"
"GFMVX5650C","Valid PAN"
"VESBA541!V","Invalid PAN"
"FDA0719","Invalid PAN"
"KNP8352","Invalid PAN"
"RDATB8513Y","Valid PAN"
"NWMXD5886V","Invalid PAN"
"COBSV3300J","Invalid PAN"
"FIWXE4283B","Valid PAN"
"DVRH52894S","Invalid PAN"
"UFYJK5203O","Valid PAN"
"KORUO9813U","Valid PAN"
"ZDUSU3778W","Invalid PAN"
"QUUBY09710V","Invalid PAN"
"EMCHC5208Q","Valid PAN"
"RYS8669","Invalid PAN"
"CIOWE4530Q","Valid PAN"
"SIQGW6194N","Valid PAN"
"WRNSS0940A","Invalid PAN"
"ROTZZ0942Y","Invalid PAN"
"FDZMO8978Q","Valid PAN"
"QQHUG5232F","Invalid PAN"
"MAYFN3796L","Valid PAN"
"BXSVY6894V","Valid PAN"
"JHS7310","Invalid PAN"
"NVCGF5487J","Valid PAN"
"YMCXN7272L","Valid PAN"
"UHZWP8670T","Valid PAN"
"GITOE3009B","Invalid PAN"
"TJQWT7340Y","Valid PAN"
"WGNGW9164F","Valid PAN"
"DXS2279","Invalid PAN"
"XULRX3570S","Valid PAN"
"WFNNY15920J","Invalid PAN"
"AIA3587","Invalid PAN"
"FLWA75145Y","Invalid PAN"
"QBMKB986!V","Invalid PAN"
"VDALF4778S","Invalid PAN"
"GMAXC2286G","Invalid PAN"
"PDVKS1987I","Valid PAN"
"WRHJR38133M","Invalid PAN"
"IHSOT9094U","Valid PAN"
"OISCY228!P","Invalid PAN"
"IWIOE995!C","Invalid PAN"
"AAQWV3090G","Invalid PAN"
"JZXPY4651L","Valid PAN"
"KLRII5697O","Invalid PAN"
"UEOBZ2693U","Valid PAN"
"TQXRA3971D","Valid PAN"
"EJY1147","Invalid PAN"
"BNXSM0193U","Valid PAN"
"FOPNQ6539P","Valid PAN"
"PUJTZ43984D","Invalid PAN"
"YAVOS8961A","Valid PAN"
"WWURD4592V","Invalid PAN"
"PCQLH3060I","Valid PAN"
"QWVZY5718L","Valid PAN"
"KMKF74573Y","Invalid PAN"
"EMLZC6381E","Valid PAN"
"SLULL192!U","Invalid PAN"
"HWH5129","Invalid PAN"
"LGLQP1873A","Valid PAN"
"MCAEQ1074L","Valid PAN"
"VKTQY0783B","Valid PAN"
"QZTJU4730Y","Valid PAN"
"HFGRX7133Z","Invalid PAN"
"UGO7588","Invalid PAN"
"ZZFTO0946D","Invalid PAN"
"RZJSQ643!N","Invalid PAN"
"JQPNM7433T","Invalid PAN"
"MSDSG9635X","Valid PAN"
"JAZBS3916I","Valid PAN"
"YSHCE5794B","Valid PAN"
"VVIKZ723!N","Invalid PAN"
"CMT8913","Invalid PAN"
"DOJOJ2778R","Invalid PAN"
"QCTW84605L","Invalid PAN"
"SNLQE980!X","Invalid PAN"
"YPINO2262Q","Invalid PAN"
"AEORN2427U","Valid PAN"
"NTJDO7259I","Valid PAN"
"ODXRT6071M","Valid PAN"
"DAYDO6954P","Valid PAN"
"RAFNE1792G","Valid PAN"
"PGC0743","Invalid PAN"
"IUAIB7278G","Valid PAN"
"PXPBS410!R","Invalid PAN"
"KAUCO7625C","Valid PAN"
"EIL1567","Invalid PAN"
"HWEYM525!L","Invalid PAN"
"XLULY52467E","Invalid PAN"
"PJLZM1723A","Valid PAN"
"YQTAP6661X","Invalid PAN"
"BIGSA0442J","Invalid PAN"
"JCLHR7284G","Valid PAN"
"WLUPO3246H","Valid PAN"
"KNJFR9072E","Valid PAN"
"XUKKA0257Y","Invalid PAN"
"AQBMO5042W","Valid PAN"
"OIR1688","Invalid PAN"
"VGU2103","Invalid PAN"
"YGAI74579Q","Invalid PAN"
"PIZ1053","Invalid PAN"
"IXPI70486X","Invalid PAN"
"HGBKZ2735W","Valid PAN"
"UQZVY4654Z","Valid PAN"
"UTEQG6730U","Valid PAN"
"VTZUA6679G","Invalid PAN"
"OAQCO68249Z","Invalid PAN"
"MGRBB7381I","Invalid PAN"
"UJGAQ2066H","Invalid PAN"
"UNUSJ2274L","Invalid PAN"
"CWLJH9822J","Invalid PAN"
"DJYHX703!I","Invalid PAN"
"DKPET92310C","Invalid PAN"
"OIDTV2796S","Valid PAN"
"ZMYOH7178K","Valid PAN"
"YTPHD7579D","Valid PAN"
"GSOAH301!J","Invalid PAN"
"VGDMI83132L","Invalid PAN"
"YJBFD1615L","Valid PAN"
"YDAEE1801H","Invalid PAN"
"MWDUR1785P","Valid PAN"
"XHZVX1375U","Valid PAN"
"IGH5103","Invalid PAN"
"PXSUB7904S","Valid PAN"
"XYVQP6898U","Valid PAN"
"CRMTR3357N","Invalid PAN"
"FXUCY8595E","Valid PAN"
"KQYKS662!Y","Invalid PAN"
"GKDKP661!W","Invalid PAN"
"BOSUN712!Q","Invalid PAN"
"VHTRB9967T","Invalid PAN"
"DSM9790","Invalid PAN"
"ZCUPS5962L","Valid PAN"
"NSMOU9824K","Valid PAN"
"CXZ8609","Invalid PAN"
"ZUX9355","Invalid PAN"
"PABXR906!R","Invalid PAN"
"UEOKC4792Y","Valid PAN"
"WSBFF9974K","Invalid PAN"
"HPDA38591G","Invalid PAN"
"AADO02126Y","Invalid PAN"
"OILLY1507S","Invalid PAN"
"HAF9023","Invalid PAN"
"MIGKQ8180N","Valid PAN"
"SNWYA9771G","Invalid PAN"
"CBBGM558!K","Invalid PAN"
"JGFSF1499Z","Invalid PAN"
"JCUVS565!V","Invalid PAN"
"USZ9384","Invalid PAN"
"EGQLP3941V","Valid PAN"
"MRPR25529S","Invalid PAN"
"RZFFJ25776K","Invalid PAN"
"UTUPK0055H","Invalid PAN"
"WAOZX1476T","Valid PAN"
"VUP2126","Invalid PAN"
"ZZSPN8616K","Invalid PAN"
"PAEBZ4740A","Valid PAN"
"PSBYA559!Q","Invalid PAN"
"SDOIP1036C","Valid PAN"
"VYJ6877","Invalid PAN"
"VCBKJ9869K","Valid PAN"
"WVEV00386U","Invalid PAN"
"RYUQB80104Q","Invalid PAN"
"XKBXG087!J","Invalid PAN"
"NGPJI67900B","Invalid PAN"
"AAJIC308!K","Invalid PAN"
"EJQZP70841I","Invalid PAN"
"PGIYC5209P","Valid PAN"
"FMKOS9587Y","Valid PAN"
"QGRIN2281V","Invalid PAN"
"AWGVW59640A","Invalid PAN"
"FDWYC8912I","Valid PAN"
"HGFFO92870F","Invalid PAN"
"ITQ5409","Invalid PAN"
"RHVQM3560Z","Valid PAN"
"JLFDB8825V","Invalid PAN"
"MHI0803","Invalid PAN"
"OABKK632!T","Invalid PAN"
"OLQIC90886N","Invalid PAN"
"FIUFT519!W","Invalid PAN"
"TIEMB7608G","Valid PAN"
"JZCWT3440B","Invalid PAN"
"YOZVM5035S","Valid PAN"
"KXS1951","Invalid PAN"
"YCVOX378!J","Invalid PAN"
"SCRDN6303B","Valid PAN"
"DMJAT9788K","Invalid PAN"
"HMYPR48401K","Invalid PAN"
"PVRIB4559V","Invalid PAN"
"YCKCE2282Q","Invalid PAN"
"SMHBL0564W","Valid PAN"
"CCLOQ9735V","Invalid PAN"
"XYGDA0704R","Valid PAN"
"XVBAN924!A","Invalid PAN"
"KNG5777","Invalid PAN"
"WJZGZ835!W","Invalid PAN"
"BHU4824","Invalid PAN"
"MGQ5461","Invalid PAN"
"SDFV55251P","Invalid PAN"
"COLCQ3501K","Valid PAN"
"UPYSJ14831W","Invalid PAN"
"GAVCQ1260C","Valid PAN"
"RNDHR0442X","Invalid PAN"
"CUZ5492","Invalid PAN"
"YSVFK3587X","Valid PAN"
"EQMDE6508X","Valid PAN"
"AUX9034","Invalid PAN"
"JKUHH0376B","Invalid PAN"
"ODHTS3054R","Valid PAN"
"GVN8599","Invalid PAN"
"HKGCZ6035N","Valid PAN"
"TSBQS69828L","Invalid PAN"
"DKRZ40752S","Invalid PAN"
"TDTGT5445H","Invalid PAN"
"IHFYF6579L","Valid PAN"
"IZWQY65572L","Invalid PAN"
"TEXDS2442X","Invalid PAN"
"FHZ0614","Invalid PAN"
"SIIM50467K","Invalid PAN"
"MYEWS675!M","Invalid PAN"
"VEUIV6525E","Valid PAN"
"QCTBF592!N","Invalid PAN"
"KHH7341","Invalid PAN"
"YGV8335","Invalid PAN"
"VJHE07741E","Invalid PAN"
"TVLVH0120L","Valid PAN"
"OXNXY5280U","Valid PAN"
"HRYLU414!N","Invalid PAN"
"FESFQ1488J","Invalid PAN"
"BQZAT1480C","Valid PAN"
"GBFPA9512X","Valid PAN"
"DLHMJ9856T","Valid PAN"
"TWDL21014A","Invalid PAN"
"SEPK47728Z","Invalid PAN"
"IEZFK65000V","Invalid PAN"
"JVEKL8348E","Valid PAN"
"DDCSX8607G","Invalid PAN"
"AQCMW795!E","Invalid PAN"
"WKOKF46325Q","Invalid PAN"
"VMAJL8665X","Invalid PAN"
"YANSU6558K","Invalid PAN"
"YGGID5783F","Invalid PAN"
"HYMLW0325U","Valid PAN"
"XLFNB97706F","Invalid PAN"
"NITSH9462K","Valid PAN"
"SORMF7427F","Valid PAN"
"MGCIT643!U","Invalid PAN"
"BEVEH506!P","Invalid PAN"
"WVKG49974N","Invalid PAN"
"SDLWZ8106X","Valid PAN"
"ZSJDZ9351P","Valid PAN"
"DEJNS4443O","Invalid PAN"
"LUBKJ7956K","Valid PAN"
"JRX1405","Invalid PAN"
"IFYWK967!Y","Invalid PAN"
"XUVFQ8601I","Valid PAN"
"GBEMC3097Y","Valid PAN"
"JRXPI1809X","Valid PAN"
"EUSBQ3697E","Valid PAN"
"BTBU89106H","Invalid PAN"
"KRKAJ8481H","Valid PAN"
"JCPWH633!Y","Invalid PAN"
"NMM0772","Invalid PAN"
"RBVEX1132R","Invalid PAN"
"OGDKZ9583M","Valid PAN"
"VUQFM2120F","Valid PAN"
"JTJZU2308R","Valid PAN"
"FCNQ46961Q","Invalid PAN"
"FYLUA1863E","Valid PAN"
"MIAVJ4148H","Valid PAN"
"RTUOQ9810Y","Valid PAN"
"UEOWK14461N","Invalid PAN"
"FHRGW1143U","Invalid PAN"
"OJSQA08083W","Invalid PAN"
"MOEZ73863J","Invalid PAN"
"VGLAL0459V","Valid PAN"
"MGKMW3913Z","Valid PAN"
"IIHJI2706N","Invalid PAN"
"OGPRM0231C","Valid PAN"
"HUTEK302!D","Invalid PAN"
"EFWCM3565F","Valid PAN"
"CVEKJ937!W","Invalid PAN"
"SKPV98842L","Invalid PAN"
"MSGYL8081K","Valid PAN"
"CTLJL4846L","Valid PAN"
"XUBES181!B","Invalid PAN"
"YTYZH9479I","Valid PAN"
"RHQKQ8856M","Invalid PAN"
"QTPHT009!C","Invalid PAN"
"SVTDN970!F","Invalid PAN"
"NYLEO92173E","Invalid PAN"
"JUAUJ2883E","Invalid PAN"
"NZAQJ9297U","Valid PAN"
"SUNWN426!T","Invalid PAN"
"RRXGR7474X","Invalid PAN"
"INXCX42503K","Invalid PAN"
"CXM2920","Invalid PAN"
"QAT7157","Invalid PAN"
"SZHUQ4163L","Valid PAN"
"YMO4011","Invalid PAN"
"BPKFL4400G","Invalid PAN"
"IDGXQ6128R","Valid PAN"
"GUSJS1404A","Valid PAN"
"NZX3605","Invalid PAN"
"XQNPC346!U","Invalid PAN"
"AWPUN5029P","Valid PAN"
"WKIHU408!V","Invalid PAN"
"ULYAR6794V","Valid PAN"
"SKBEU129!O","Invalid PAN"
"NFN9900","Invalid PAN"
"RWGNX6108Z","Valid PAN"
"BCFXZ7028Y","Valid PAN"
"UBLNY0056G","Invalid PAN"
"BPPEI2589J","Invalid PAN"
"BUVRT1053T","Valid PAN"
"TXMXL8545J","Valid PAN"
"YLPSK30561Z","Invalid PAN"
"MYZOH2903Y","Valid PAN"
"GXR9710","Invalid PAN"
"ONPVY3011U","Invalid PAN"
"NKVMG9878B","Valid PAN"
"EWBSM1236S","Valid PAN"
"FFQJZ6299C","Invalid PAN"
"GDYYP89618D","Invalid PAN"
"CBL0593","Invalid PAN"
"BJLYV2892H","Valid PAN"
"UGAJL3528G","Valid PAN"
"HJKXQ0928V","Valid PAN"
"PYBVJ8168X","Valid PAN"
"YIS3100","Invalid PAN"
"PKCWW953!G","Invalid PAN"
"AJMXI607!C","Invalid PAN"
"QXF4305","Invalid PAN"
"XENW79517J","Invalid PAN"
"ICBOB1652M","Valid PAN"
"FKQSO9519I","Valid PAN"
"VMRVT30068O","Invalid PAN"
"ITPZS3745X","Valid PAN"
"RQQPP1232P","Invalid PAN"
"BUPGN0330I","Invalid PAN"
"DKY7555","Invalid PAN"
"XFBY36174C","Invalid PAN"
"PSQ2037","Invalid PAN"
"TLMFI0717J","Valid PAN"
"XIB2669","Invalid PAN"
"XRQCO31487T","Invalid PAN"
"QNNWF206!D","Invalid PAN"
"LTNB20780X","Invalid PAN"
"OYAGA4629B","Valid PAN"
"JJCHK4574O","Invalid PAN"
"FRPKX520!Q","Invalid PAN"
"ZDFYZ6886E","Invalid PAN"
"CBPIV2953H","Valid PAN"
"VQIKT0401Q","Valid PAN"
"XPC6286","Invalid PAN"
"ZHMPB2743K","Valid PAN"
"ZRGJ01984I","Invalid PAN"
"KGCWX87157H","Invalid PAN"
